Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,13,6,7,,EDward Gaming,11,5,6,,1:16:34
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,5,2,3,,EDward Gaming,13,3,10,,40:51
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,13,7,6,,EDward Gaming,8,3,5,,
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,13,8,5,,Team Liquid,10,6,4,,1:04:37
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,13,6,7,,Team Liquid,10,4,6,,1:05:07
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,8,7,1,,LOUD,13,8,5,,1:05:35
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,9,7,2,,LOUD,13,8,5,,51:21
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,16,4,8,4,BOOM Esports,18,4,8,6,1:46:49
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,13,10,3,,BOOM Esports,5,3,2,,38:28
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,13,9,4,,BOOM Esports,3,0,3,,
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,8,6,2,,Leviatán,13,7,6,,1:04:03
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,11,6,5,,Leviatán,13,7,6,,56:36
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Ascent,DRX,16,3,9,4,FURIA,14,3,9,2,1:26:13
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,Haven,DRX,13,8,5,,FURIA,4,0,4,,45:02
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Pearl,FNATIC,10,6,4,,100 Thieves,13,7,6,,1:12:37
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Bind,FNATIC,13,8,5,,100 Thieves,7,3,4,,45:59
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,Haven,FNATIC,7,6,1,,100 Thieves,13,7,6,,
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Breeze,OpTic Gaming,7,1,6,,LOUD,13,2,11,,56:31
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Fracture,OpTic Gaming,13,6,7,,LOUD,10,4,6,,54:16
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,Pearl,OpTic Gaming,13,9,4,,LOUD,3,0,3,,
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,Fracture,XSET,13,7,6,,XERXIA Esports,11,6,5,,1:15:18
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,Icebox,XSET,13,7,6,,XERXIA Esports,10,5,5,,53:54
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,Icebox,FunPlus Phoenix,14,3,9,2,KRÜ Esports,12,3,9,0,1:12:18
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,Bind,FunPlus Phoenix,13,5,8,,KRÜ Esports,10,3,7,,56:00
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,Breeze,DRX,18,7,5,6,100 Thieves,16,7,5,4,1:28:41
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,Fracture,DRX,13,9,4,,100 Thieves,9,6,3,,49:27
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Haven,BOOM Esports,13,4,9,,ZETA DIVISION,11,3,8,,1:16:08
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Pearl,BOOM Esports,11,4,7,,ZETA DIVISION,13,5,8,,54:13
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,Fracture,BOOM Esports,2,2,0,,ZETA DIVISION,13,3,10,,
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Bind,EDward Gaming,5,4,1,,Team Liquid,13,5,8,,52:32
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,Breeze,EDward Gaming,12,5,7,0,Team Liquid,14,5,7,2,56:20
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Icebox,KRÜ Esports,13,9,4,,XERXIA Esports,4,1,3,,53:48
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Haven,KRÜ Esports,7,4,3,,XERXIA Esports,13,5,8,,44:29
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,Ascent,KRÜ Esports,13,7,6,,XERXIA Esports,6,1,5,,
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Icebox,FURIA,13,7,6,,FNATIC,9,4,5,,1:09:44
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Breeze,FURIA,7,2,5,,FNATIC,13,3,10,,48:03
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,Haven,FURIA,11,6,5,,FNATIC,13,7,6,,
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Pearl,FunPlus Phoenix,7,6,1,,XSET,13,7,6,,1:00:59
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Fracture,FunPlus Phoenix,13,8,5,,XSET,4,0,4,,45:10
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,Breeze,FunPlus Phoenix,5,1,4,,XSET,13,2,11,,
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Haven,Paper Rex,13,5,7,1,Team Liquid,15,5,7,3,1:20:45
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Pearl,Paper Rex,13,8,5,,Team Liquid,4,0,4,,44:18
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Ascent,Paper Rex,8,4,4,,Team Liquid,13,5,8,,
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,Bind,LOUD,13,7,6,,ZETA DIVISION,11,6,5,,1:06:21
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,Ascent,LOUD,13,7,6,,ZETA DIVISION,5,0,5,,40:20
Valorant Champions 2022,Group Stage,Decider (C),FunPlus Phoenix vs KRÜ Esports,Icebox,FunPlus Phoenix,13,7,6,,KRÜ Esports,9,4,5,,1:06:02
Valorant Champions 2022,Group Stage,Decider (C),FunPlus Phoenix vs KRÜ Esports,Ascent,FunPlus Phoenix,13,9,4,,KRÜ Esports,4,1,3,,39:37
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,Bind,100 Thieves,5,2,3,,FNATIC,13,3,10,,1:02:00
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,Ascent,100 Thieves,7,4,3,,FNATIC,13,5,8,,47:45
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Leviatán vs LOUD,Icebox,Leviatán,12,8,4,0,LOUD,14,8,4,2,1:27:06
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Leviatán vs LOUD,Haven,Leviatán,6,5,1,,LOUD,13,6,7,,45:27
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,Ascent,DRX,19,7,5,7,FunPlus Phoenix,17,7,5,5,1:36:54
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,Breeze,DRX,13,9,4,,FunPlus Phoenix,5,2,3,,41:14
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Breeze,OpTic Gaming,7,3,4,,Team Liquid,13,4,9,,1:01:49
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Bind,OpTic Gaming,13,7,6,,Team Liquid,8,3,5,,55:38
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,Ascent,OpTic Gaming,13,10,3,,Team Liquid,8,6,2,,
